id;first_name;last_name;age;email;phone;address_line_1;city;country;state
1;Lola;Rogahn;65397;"Km,h@Gd;\.,9d";(361) 633-1164 x507;Assistant;East Laishaburgh;Brunei Darussalam;ADDED
2;Jaycee;Turcotte;71649;"^Y8p#@PON.2jD";295.853.9350;Singapore;Brandoport;Japan;ADDED
3;Brian;Hayes;1966;"3@`{2.^SKD?";976.321.6591 x74219;Designer Kiribati;Jersey City;British Indian Ocean Territory (Chagos Archipelago);IN_CHECK
4;Abelardo;Borer;52896;"Q{V7@'.5";(864) 376-9122 x1498;microchip;East Peggie;Saint Pierre and Miquelon;ADDED
5;Jenifer;Friesen;43072;"V$\Y)@v.)0";1-364-306-0169;Ball Personal;Krisland;Aruba;IN_CHECK
6;Baron;McClure;52032;"?aS@5\xI.0j";332-756-7020 x605;Division;Carlsbad;Philippines;ACTIVE
7;Maryjane;Waters;85255;"6Cuo#@t.#J";(976) 707-0000 x8015;Table;Baytown;Guatemala;IN_CHECK
8;Mariano;Schmitt;32741;";$/@hRdt|I.$n";220-235-3622;Agent;Port Orange;Seychelles;ADDED
9;Nicolas;Turner;51889;"!W'm1*@<'/8I.F+E";764.989.8690 x520;framework;Ceres;Armenia;ACTIVE
10;Pauline;Zulauf;98531;"t%O@aH.8m6P]";219-616-2445;Bedfordshire;Rosannaport;French Guiana;ADDED
